"Timestamp","Sexo","Edad","País","Ocupación","Orientación Sexual","¿Eres segura/seguro de ti mismo?","¿Te sientes segura/seguro estando sola/solo? ","¿Dependes de otras personas para animarte a realizar nuevas actividades?","¿Necesitas saber que hay gente que respalda tu opinión para poder expresarla?","¿Temes por ""terminar solo""? ","De las siguientes características, ¿con cuáles te identificas? ","Te aburres fácilmente.","Te consideras una persona celosa.","Te consideras una persona emocionalmente inestable.","Te consideras una persona ansiosa.","Eres buena/bueno mintiendo","Te gusta sentirte deseada / deseado."," ¿Qué tanto estás dispuesto a soportar maltrato físico o psicológico con tal de que una persona se quede a tu lado?","Cuando estás en una relación, ¿Qué tan a menudo sientes de forma espontánea que la relación va a acabar?","¿Actualmente tienes pareja?","¿Alguna vez has regresado con una ex pareja?","¿Qué le dirías a tu ex pareja si la vieras de nuevo?","¿Cómo sería tu pareja ideal?","¿Alguna vez has sido infiel?","¿Por qué fuiste infiel?","¿Alguna vez te han sido infiel?","Antes de haber sido infiel, ¿a ti te fueron infiel?","¿Has perdonado alguna infidelidad?","¿Te han perdonado alguna infidelidad?","¿Crees en la monogámia?","¿Cuántas parejas has tenido en toda tu vida?","¿Cuáles fueron las principales razónes por las que fuiste infiel?","En promedio, ¿Cuánto dinero le dedicas/dedicabas a tu pareja al mes? ","En promedio, ¿Cuántas horas a la semana pasas/pasabas con tu pareja?","¿Cuánto ha durado tu relación más larga?","¿Consideras que tu pareja te satisface/satisfizo en todos los ámbitos?","¿Tienes relaciones sexuales con personas que no conoces frecuentemente?","Tu pareja te amenaza con dejarte porque no quieres mantener relaciones sexuales con ella/él, tú...","¿Consideras la posibilidad de tener hijos?","¿Por qué te gustaría/no te gustaría tener hijos?","¿Cuántos hijos tienes/te gustaría tener?"
"2021/06/15 12:09:43 pm GMT-5","Masculino","24","México","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Necesidad de agradar.;Deseos de exclusividad.","3","3","4","2","4","4","1","3","Sí","No","Hola, cómo te ha ido?","Independiente, alegre, inteligente, curiosa, atractiva","Sí","Por estar borracho","No","No","No me han sido infiel.","Sí","Sí","5","Sentí atracción sexual por alguien más ","800 pesos","8 horas","+5 años","Sí","No","Te niegas y la/lo dejas.","No","Porque es mucho gasto y perdida de tiempo y dinero que puedo emplear en mi persona","Ninguno"
"2021/06/15 12:13:14 pm GMT-5","Femenino","18","México","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Estado de ánimo disfórico.;Lugar prioritario de la relación.;Necesidad de acceso continuo al compañero.;Deseos de exclusividad.","4","1","2","4","4","5","3","4","Sí","Sí","Chingatupadre 👍","Alguien con quien pueda ser yo misma y que a parte de ser mi pareja sea mi compañero, amigo, etc.","Sí","Porque me había sido infiel primero y la segunda vez, cuando él empezó a tener actitudes similares a la que tuvo mi ex pareja que me engañó, me dió miedo que me engañara y yo lo engañé primero ","Sí","Sí","Sí","Sí","Sí","1","Miedo y ¿despecho?","500 aprox","18","7 meses","No","No","Te niegas y la/lo dejas.","No","Tener hijos no está en mis planes para que yo tenga un desarrollo personal optimo","Ninguno"
"2021/06/15 12:14:51 pm GMT-5","Masculino","19","México","Estudiante","Heterosexual","No","Sí","Sí","Sí","Sí","Baja autoestima.;Estado de ánimo disfórico.;Necesidad de acceso continuo al compañero.;Deseos de exclusividad.;Déficit de habilidades sociales","4","2","4","3","4","4","1","4","Sí","No","Hola jeje","Que me ame y respete ","Sí","Inseguridad de que la relación acabaría ","Sí","Sí","Sí","No","No","4","Miedo","700","8","Un año y siete meses ","Sí","No","Te niegas y la/lo dejas.","Tal vez","Para que sean mejores personas que yo","2"
"2021/06/15 12:20:55 pm GMT-5","Femenino","25","México","Estudiante","Heterosexual","No","No","Sí","No","No","Baja autoestima.;Déficit de habilidades sociales","1","1","1","5","1","4","1","3","No","No","No dirigir la palabra ","Semejante en la forma de pensar","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","2","No he sido infiel.","100","10","7 meses","No","No","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Tal vez","","2"
"2021/06/15 12:25:16 pm GMT-5","Femenino","15","México ","Estudiante","Heterosexual","No","Sí","Sí","Sí","No","Baja autoestima.","2","1","1","4","4","2","1","1","No","No","No tengo ex pareja","Respetuoso, responsable, inteligente, amable, fiel, carismático, etc.","No","No he sido infiel.","No","Me han sido infiel y depués de ello yo NO he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","0","No he sido infiel.","0","0","0","No","No","Te niegas y la/lo dejas.","Sí","","2"
"2021/06/15 12:40:29 pm GMT-5","Masculino","22","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Baja autoestima.;Déficit de habilidades sociales","2","1","1","4","2","4","1","2","No","No","Que cómo ha estado ","Respetuosa, amor mutuo","No","No he sido infiel.","Sí","No he sido infiel.","No","No he sido infiel.","No","5","No he sido infiel.","500","15","2 meses y medio ","No","No","Te niegas y la/lo dejas.","Sí","Quisiera tener a alguien a quien pueda enseñarle cosas ","2"
"2021/06/15 12:40:37 pm GMT-5","Femenino","22","Brasil ","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Baja autoestima.;Miedo a la soledad.;Necesidad de agradar.;Deseos de exclusividad.","5","5","3","3","2","3","2","3","No","No","Não sei ","Mesmo ideais","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","1","No he sido infiel.","0","0","1 mês ","No","","","Sí","Construir family ","0"
"2021/06/15 1:08:39 pm GMT-5","Femenino","48","México ","Empleada","Heterosexual","Sí","Sí","Sí","No","No","Deseos de exclusividad.","3","2","2","1","4","5","1","1","Sí","Sí","Hola como estas?
Como te ha ido?","Alto, complexión media, atento, respetuoso, amoroso.","Sí","Por curiosidad a la sensación ","No","No","No me han sido infiel.","Sí","Sí","20","Curiosidad ","0","30","17 años","Sí","No","Te niegas y la/lo dejas.","No","Ya tuve","Tengo 2"
"2021/06/15 1:12:46 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","Sí","Sí","No","No","No","Lugar prioritario de la relación.","4","5","2","5","3","4","1","1","Sí","Sí","Me da gusto que ya maduraste y te animaste a terminar de estudiar","Tolerante","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","9","No he sido infiel.","700","14","2 años 3 meses ","Sí","No","Te niegas y la/lo dejas.","Tal vez","","2"
"2021/06/15 1:33:12 pm GMT-5","Masculino","20","Mexico ","Estudiante","Heterosexual","Sí","Sí","No","No","No","Baja autoestima.;Déficit de habilidades sociales","5","4","3","5","4","4","1","2","No","Sí","Le preguntaría cómo le va ","No lo se","Sí","Fue un error que no volvería a cometer","Sí","Sí","Sí","No","Sí","3","La relación ya no era la misma ","Ni idea ","Depende mucho de la persona ","2 años ","Sí","No","Te niegas y la/lo dejas.","No","No me considero que sería buen padre ","0"
"2021/06/15 1:36:03 pm GMT-5","Femenino","21","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Baja autoestima.","2","1","2","2","1","2","1","1","Sí","No","Espero que le esté yendo bien. ","Responsable, con metas definidas, respetuoso, amoroso, amable, perseverante, etc. ","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","No","No he sido infiel.","Sí","2","No he sido infiel.","No he realizado un estimado ","10-15","Año y medio","Sí","No","Te niegas y la/lo dejas.","Sí","","Me gustaría tener 2-3 "
"2021/06/15 1:42:07 pm GMT-5","Masculino","17","Mexico","Estudiante","Heterosexual","Sí","Sí","Sí","Sí","No","Baja autoestima.;Autoanulación.;Deseos de exclusividad.;Déficit de habilidades sociales;Ocupar un papel inferior en la relación de pareja","3","2","3","5","2","4","2","4","No","No","No estaba preparado.
","Que me tenga paciencia principalmente.","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","2","No he sido infiel.","0 pesos.","3.","2 meses","No","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Tal vez","Me gusta jugar con ellos cosas tranquilas pero no creo poder educar a un niño o aguantar los berrinches que hacen.","3"
"2021/06/15 2:35:11 pm GMT-5","Femenino","17","México ","Estudiante","Heterosexual","Sí","Sí","No","No","Sí","Miedo a la soledad.;Necesidad de acceso continuo al compañero.","4","1","2","5","4","5","1","2","No","No","Que le agradezco por estar a mi lado aún después de cómo terminó la relación ","Tendría que escucharme, ser cariñoso, platicar, ayudarme a crecer, celebrar mis triunfos y todo recíprocamente ","Sí","Supongo que mi estabilidad emocional no estaba bien","Sí","Sí","Sí","Sí","Sí","6","Confusión ","500","5.5","1 año y 3 meses ","Sí","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","Sí","Porque siempre ha sido mi sueño","2 "
"2021/06/15 2:45:53 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","Sí","Sí","No","No","No","Baja autoestima.;Lugar prioritario de la relación.","5","4","2","4","5","5","1","1","Sí","Sí","Pues que se cuide, que me da pena si situación por la que esta pasando pero que se enfrente al mundo si sus convicciones son fuertes.","Ya la tengo, alguien respetuoso, seguro de sí mismo, fuerte en sus convicciones y único en lo que a sus acciones como ser humano se refiere.","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","2","No he sido infiel.","No tengo idea. Quiero pensar que a mi actual pareja le dedico unos 1000 pesos mínimo.","Actualmente 12","Es la actual, llevo 1 año 10 meses de relación","Sí","No","Te niegas y la/lo dejas.","Sí","Por que me gusta la ilusión de lo que significa en el sentido familiar.","1 "
"2021/06/15 3:04:48 pm GMT-5","Femenino","21","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Baja autoestima.;Autoanulación.;Deseos de exclusividad.;Déficit de habilidades sociales","3","5","3","4","4","4","2","2","No","No","Nunca he tenido pareja","Con respecto mutuo y sinceridad.","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","0","No he sido infiel.","0","0","0","No","No","Te niegas y la/lo dejas.","No","Porque en primer lugar no quiero experimentar la transformación de mi cuerpo debido al embarazo y en segundo porque no tengo la seguridad de que al menos seré financieramente estable para darle una buena calidad de vida.","0 "
"2021/06/15 3:05:07 pm GMT-5","Femenino","21","México","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Déficit de habilidades sociales","2","1","4","5","3","5","1","2","No","Sí","""Espero que estes cumpliendo tus metas"" ","","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","500","40","1 año 8 meses","Sí","No","","No","","Ninguno "
"2021/06/15 3:10:28 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Estado de ánimo disfórico.","3","3","2","4","4","3","1","1","Sí","No","Fuiste una persona súper fea conmigo cuando terminamos, pero me alegra que después del tiempo pudimos arreglar las cosas y soy fan de tu relación con tu morrita tqm","","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","1000","18","5 años ","Sí","No","Te niegas y la/lo dejas.","Sí","","2-3"
"2021/06/15 3:13:17 pm GMT-5","Masculino","20","México","Estudiante","Heterosexual","Sí","Sí","No","No","No","Deseos de exclusividad.","2","2","1","4","1","1","1","1","Sí","Sí","Que tal todo","Que me ame","No","No he sido infiel.","No","No","No","No he sido infiel.","Sí","8","No he sido infiel.","1000","10","1 año y x meses","Sí","No","Te niegas y la/lo dejas.","Sí","Me gustaría deja mi legado a alguien  y dejar al mundo una bella persona
","5"
"2021/06/15 3:14:45 pm GMT-5","Masculino","21","México ","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Déficit de habilidades sociales","4","2","4","4","5","2","5","5","No","No","Preguntaría como le va y si ha cumplido sus propias espectativas ","Alguien independiente ","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","4","No he sido infiel.","300","6","1 año 8 meses ","Sí","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","No","No me considero capaz de educar a alguien ","0"
"2021/06/15 3:15:25 pm GMT-5","Masculino","20","México","Estudiante","Heterosexual","No","No","Sí","No","Sí","Baja autoestima.;Miedo a la soledad.;Necesidad de acceso continuo al compañero.;Déficit de habilidades sociales;Ocupar un papel inferior en la relación de pareja","4","2","4","5","4","5","3","2","Sí","No","¿Como te va?","Que sea romántica y muy amorosa, independiente, fuerte...","Sí","Me sentía incómodo en mi relación (era tóxica)","No","No","No me han sido infiel.","No","Sí","3","Aburrimiento","Depende de la situación pero son al menos 50 pesos","10 horas","1 año y 3 meses ","Sí","No","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","No","Es mucha responsabilidad ","0"
"2021/06/15 3:20:21 pm GMT-5","Femenino","21","México ","Estudiante","Bisexual","No","Sí","No","No","No","Baja autoestima.;Estado de ánimo disfórico.;Déficit de habilidades sociales","5","2","3","4","5","4","1","4","Sí","Sí","Pues nada ya nada","No tengo una idea de pareja ideal ","Sí","Porque pude, quise  y me gustaba la atención ","Sí","Sí","Sí","Sí","No","8","Porque mi ex pareja no me prestaba la atención que quería ","1,500","5","3 años ","Sí","No","Te niegas y la/lo dejas.","Sí","Porque me gustan los niños","1"
"2021/06/15 3:23:23 pm GMT-5","Masculino","21","México","Estudiante","Bisexual","No","No","Sí","Sí","Sí","Miedo a la soledad.;Necesidad de acceso continuo al compañero.;Necesidad de agradar.;Déficit de habilidades sociales","3","1","2","3","5","3","1","2","Sí","Sí","Nada","Amable, no tóxica, abierta al cambio, cordial y correspondiente al amor","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","No","5","No he sido infiel.","400","0","3 años","Sí","Sí","Te niegas y la/lo dejas.","No","Porque quiero adoptar, y mi relación actual es homosexual, no me gusta la idea de traer nuevas vidas a un contexto como el actual.","1"
"2021/06/15 3:28:06 pm GMT-5","Masculino","21","Mexico","Estudiante","Heterosexual","Sí","Sí","No","Sí","Sí","Miedo a la soledad.;Deseos de exclusividad.;Déficit de habilidades sociales","3","1","1","2","3","4","1","1","No","Sí","Que te vaya chido","","Sí","Por pendejo","Sí","Sí","Sí","No","Sí","5","Pendejo","50","3","2 años","No","No","Te niegas y la/lo dejas.","Tal vez","","2"
"2021/06/15 3:28:59 pm GMT-5","Femenino","21","México","Estudiante","Heterosexual","No","Sí","Sí","Sí","No","Baja autoestima.;Estado de ánimo disfórico.;Autoanulación.;Necesidad de agradar.","4","2","4","5","5","4","1","1","Sí","No","Eres un culero que arruinó muchas cosas para mí, realmente lo que me hiciste no tiene perdón y de mi cuenta corre que no le hagas lo mismo a otras chicas y te vayas a la cárcel.","Que siempre tenga deseo de superarse, metas planteadas, que me respete, que no replique algún tipo de conducta machista hacia mí u otras mujeres, que no me límite con mis planes de vida y que siempre tengamos buena comunicación para apoyarnos ","No","No he sido infiel.","Sí","No he sido infiel.","Sí","No he sido infiel.","Sí","4","No he sido infiel.","500","15","1 año 10 meses","Sí","No","Te niegas y la/lo dejas.","Tal vez","Porque siempre he querido una familia grande ya que, al ser hija única, a veces se siente la soledad de no tener a alguien ""de tu edad"" para desahogarte. ","3"
"2021/06/15 3:30:48 pm GMT-5","Masculino","21","mexico","Estudiante","Heterosexual","Sí","Sí","Sí","No","No","Autoanulación.","5","3","5","1","5","5","2","5","Sí","Sí","una culeadita de compas?","como yo","Sí","me aburren rapido las personas","Sí","Sí","Sí","No","No","25","me aburrio mi pareja","300","11","6 meses","No","No","Aceptas pero sabes que gradualmente eso te desgastará y terminarás dejandola/dejandolo.","Tal vez","","1"
"2021/06/15 3:35:14 pm GMT-5","Femenino","22","México ","Estudiante","Heterosexual","No","Sí","No","Sí","No","Baja autoestima.;Estado de ánimo disfórico.;Necesidad de acceso continuo al compañero.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales","2","4","4","2","4","4","1","4","No","Sí","Que me perdone por lo que le hice.","Honesto, inteligente, fiel.","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","No","1","No he sido infiel.","0","3","10 meses","No","No","Te niegas y la/lo dejas.","Sí","Solamente es un deseo que tengo a futuro.","2"
"2021/06/15 3:36:07 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Estado de ánimo disfórico.","3","3","2","4","4","3","1","1","Sí","No","Fuiste una persona súper fea conmigo cuando terminamos, pero me alegra que después del tiempo pudimos arreglar las cosas y soy fan de tu relación con tu morrita tqm","","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","1000","18","5 años ","Sí","No","Te niegas y la/lo dejas.","Sí","","2-3"
"2021/06/15 3:37:47 pm GMT-5","Femenino","20","México ","Estudiante","Bisexual","Sí","Sí","No","Sí","No","Miedo a la soledad.;Lugar prioritario de la relación.;Déficit de habilidades sociales","5","1","1","4","5","5","1","5","No","Sí","Que le vaya bien y que ojalá pronto cuestione y sepa que el amor no justifica las malas actitudes. ","Respetuoso, con metas, que tenga prioridades y yo no sea la primera de esas prioridades porque el no lo será para mi, que comprenda que tengo metas, que seamos amigos y un equipo que nos ayude a ser mejores. ","Sí","Estaba en secundaria y me encontraba en una situación muy tóxica entonces lo más fácil para mi fue serle infiel para terminar. (pensamiento tonto=","Sí","No","No","No","Sí","""serias"" 4","Inmadurez ","300","Más de 15","11 meses ","No","No","Te niegas y la/lo dejas.","No","Porque no es mi meta, no me sentiría bien de hacer algo que no quiero y sencillamente los niños no son algo que me agrade ni tenga la facilidad para cuidarlos ","0"
"2021/06/15 3:38:41 pm GMT-5","Femenino","24","méxico","Estudiante","Heterosexual","No","Sí","Sí","Sí","Sí","Baja autoestima.;Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales","5","2","3","3","1","5","2","4","No","No","no sé que diría exactamente, me encuentro muy contrariada estoy enojada pero también le guardo un cariño muy grande","atento, cariñoso, responsable y divertido","No","No he sido infiel.","Sí","Me han sido infiel y depués de ello yo NO he sido infiel.","Sí","No he sido infiel.","Sí","10","No he sido infiel.","350","24 a 72 horas","2 años","No","No","Aceptas por miedo a que te deje.","Sí","me gustaría ser madre","máximo 3"
"2021/06/15 3:43:57 pm GMT-5","Masculino","22","México","Estudiante","Heterosexual","Sí","No","No","Sí","No","Necesidad de agradar.;Deseos de exclusividad.;Déficit de habilidades sociales","4","3","1","4","2","3","1","3","No","Sí","Logré todo lo que me dijiste que nunca haría.","Alguien con quién me sienta en paz y a gusto. De igual forma que podamos aprender el uno del otro y que haya confianza.","Sí","Falta de comunicación y deterioro en la relación","Sí","Sí","No","No","No","4","Por la falta de comunicación y deterioro en la relación","600","12","1 año y 8 meses ","No","No","Te niegas pero tratas de convencerla/convenserlo de que la amas/lo amas.","No","No me veo en un futuro con hijos","0"
"2021/06/15 3:44:41 pm GMT-5","Femenino","22","México ","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Baja autoestima.;Autoanulación.;Déficit de habilidades sociales","4","5","1","3","5","5","2","4","Sí","Sí","Me causaste muchos problemas con mi familia y mis amigas por tus mentiras ","No hay pareja ideal","Sí","Me atrajo otra persona y se dio la oportunidad ","Sí","Sí","Sí","Sí","Sí","10","No lo sé ","500","5","4 años","No","No","Te niegas y la/lo dejas.","No","No es algo que deseo y no tengo las posibilidades ni económicas ni materiales","Ningunx"
"2021/06/15 3:46:01 pm GMT-5","Femenino","20","México ","Estudiante","Bisexual","No","Sí","No","Sí","Sí","Miedo a la soledad.;Necesidad de acceso continuo al compañero.;Autoanulación.;Necesidad de agradar.;Deseos de exclusividad.","5","1","1","5","5","5","1","4","No","Sí","Lastimaste lo más profundo de mi corazón. Aunque te sigo extrañando, ya no quiero volver a darte otra oportunidad. ","Muy graciosx, que baile conmigo porque es algo que le hace tan feliz como a mí, y que sea simpáticx. Que esté conmigo porque así lo decide y se siente bien conmigo. ","Sí","Porque quería escapar de una persona","Sí","No","Sí","Sí","Sí","3","Porque quería escapar de una persona y porque me sentí insegura","100 pesos","6","3 años","No","No","Te niegas y la/lo dejas.","No","Porque no está en mi plan de vida.","Si lo decidiera, dos."
"2021/06/15 3:47:18 pm GMT-5","Femenino","20","México ","Estudiante","Heterosexual","Sí","Sí","No","Sí","No","Estado de ánimo disfórico.","3","3","2","4","4","3","1","1","Sí","No","Fuiste una persona súper fea conmigo cuando terminamos, pero me alegra que después del tiempo pudimos arreglar las cosas y soy fan de tu relación con tu morrita tqm","","No","No he sido infiel.","No","No he sido infiel.","No me han sido infiel.","No he sido infiel.","Sí","3","No he sido infiel.","1000","18","5 años ","Sí","No","Te niegas y la/lo dejas.","Sí","","2-3"
